time,FinapresPPG
2.00846133333332,-31.03138
2.02179466666665,-28.82284
2.03512799999998,-24.42202
2.04846133333332,-17.7582
2.06179466666665,-9.33055
2.07512799999998,0.01945
2.08846133333332,9.63716
2.10179466666665,18.57956
2.11512799999998,25.9012
2.12846133333332,30.91918
2.14179466666665,33.41638
2.15512799999998,33.62486
2.16846133333332,32.20462
2.18179466666665,29.99686
2.19512799999998,27.60552
2.20846133333332,25.21236
2.22179466666665,22.92159
2.23512799999998,20.75255
2.24846133333332,18.73445
2.26179466666665,16.74935
2.27512799999998,14.64341
2.28846133333332,12.34094
2.30179466666665,9.89792
2.31512799999998,7.54165
2.32846133333332,5.56278
2.34179466666665,4.094
2.35512799999998,3.05673
2.36846133333332,2.27083
2.38179466666665,1.52316
2.39512799999998,0.61356
2.40846133333332,-0.55212
2.42179466666665,-1.96902
2.43512799999998,-3.58771
2.44846133333332,-5.38189
2.46179466666665,-7.36024
2.47512799999998,-9.51677
2.48846133333332,-11.80024
2.50179466666665,-14.09714
2.51512799999998,-16.27256
2.52846133333332,-18.27598
2.54179466666665,-20.13627
2.55512799999998,-21.92772
2.56846133333332,-23.71581
2.58179466666665,-25.52519
2.59512799999998,-27.31766
2.60846133333332,-29.02909
2.62179466666665,-30.57153
2.63512799999998,-31.78502
2.64846133333332,-32.41514
2.66179466666665,-32.09943
2.67512799999998,-30.36592
2.68846133333332,-26.7176
2.70179466666665,-20.92308
2.71512799999998,-13.17478
2.72846133333332,-4.03428
2.74179466666665,5.71003
2.75512799999998,15.11379
2.76846133333332,23.22622
2.78179466666665,29.35797
2.79512799999998,33.22766
2.80846133333332,34.92583
2.82179466666665,34.83825
2.83512799999998,33.47154
2.84846133333332,31.38072
2.86179466666665,29.08576
2.87512799999998,26.97676
2.88846133333332,25.17187
2.90179466666665,23.49519
2.91512799999998,21.66905
2.92846133333332,19.52665
2.94179466666665,17.05751
2.95512799999998,14.51128
2.96846133333332,12.17614
2.98179466666665,10.21794
2.99512799999998,8.61894
3.00846133333332,7.27797
3.02179466666665,6.13272
3.03512799999998,5.12966
3.04846133333332,4.15548
3.06179466666665,3.07289
3.07512799999998,1.80711
3.08846133333332,0.35178
3.10179466666665,-1.27168
3.11512799999998,-3.05097
3.12846133333332,-4.94867
3.14179466666665,-6.98567
3.15512799999998,-9.24222
3.16846133333332,-11.71497
3.18179466666665,-14.22227
3.19512799999998,-16.5437
3.20846133333332,-18.62131
3.22179466666665,-20.55532
3.23512799999998,-22.46393
3.24846133333332,-24.38127
3.26179466666665,-26.28382
3.27512799999998,-28.03151
3.28846133333332,-29.42889
3.30179466666665,-30.18259
3.31512799999998,-29.82571
3.32846133333332,-27.78791
3.34179466666665,-23.62204
3.35512799999998,-17.24316
3.36846133333332,-9.08094
3.38179466666665,0.03741
3.39512799999998,9.1562
3.40846133333332,17.57873
3.42179466666665,24.40971
3.43512799999998,29.03168
3.44846133333332,31.35618
3.46179466666665,31.74899
3.47512799999998,30.72623
3.48846133333332,28.80262
3.50179466666665,26.46401
3.51512799999998,24.03096
3.52846133333332,21.7573
3.54179466666665,19.64394
3.55512799999998,17.49049
3.56846133333332,15.13688
3.58179466666665,12.65641
3.59512799999998,10.30922
3.60846133333332,8.26766
3.62179466666665,6.58071
3.63512799999998,5.2844
3.64846133333332,4.32782
3.66179466666665,3.50078
3.67512799999998,2.62426
3.68846133333332,1.71517
3.70179466666665,0.85523
3.71512799999998,0.06568
3.72846133333332,-0.74256
3.74179466666665,-1.74987
3.75512799999998,-3.14805
3.76846133333332,-4.9502
3.78179466666665,-6.90396
3.79512799999998,-8.7247
3.80846133333332,-10.38209
3.82179466666665,-12.03839
3.83512799999998,-13.80488
3.84846133333332,-15.68062
3.86179466666665,-17.56787
3.87512799999998,-19.34951
3.88846133333332,-20.91028
3.90179466666665,-22.15327
3.91512799999998,-22.91741
3.92846133333332,-22.8678
3.94179466666665,-21.53228
3.95512799999998,-18.44772
3.96846133333332,-13.34718
3.98179466666665,-6.34583
3.99512799999998,1.99932
4.00846133333332,10.75576
4.02179466666665,19.06673
4.03512799999998,26.2037
4.04846133333332,31.53309
4.06179466666665,34.65758
4.07512799999998,35.59309
4.08846133333332,34.75484
4.10179466666665,32.75486
4.11512799999998,30.14338
4.12846133333332,27.25965
4.14179466666665,24.33451
4.15512799999998,21.56279
4.16846133333332,18.96583
4.18179466666665,16.40868
4.19512799999998,13.80612
4.20846133333332,11.26912
4.22179466666665,9.00769
4.23512799999998,7.13765
4.24846133333332,5.62173
4.26179466666665,4.38186
4.27512799999998,3.4168
4.28846133333332,2.72408
4.30179466666665,2.1572
4.31512799999998,1.42597
4.32846133333332,0.32696
4.34179466666665,-1.10487
4.35512799999998,-2.72866
4.36846133333332,-4.46889
4.38179466666665,-6.3351
4.39512799999998,-8.37107
4.40846133333332,-10.57147
4.42179466666665,-12.87678
4.43512799999998,-15.15561
4.44846133333331,-17.28786
4.46179466666665,-19.24532
4.47512799999998,-21.09191
4.48846133333332,-22.90765
4.50179466666665,-24.65599
4.51512799999998,-25.99815
4.52846133333331,-26.28658
4.54179466666665,-24.8948
4.55512799999998,-21.52101
4.56846133333332,-16.2611
4.58179466666665,-9.40156
4.59512799999998,-1.43076
4.60846133333331,7.01882
4.62179466666665,15.12064
4.63512799999998,21.97751
4.64846133333332,26.87457
4.66179466666665,29.48274
4.67512799999998,29.98947
4.68846133333331,28.9599
4.70179466666665,26.98697
4.71512799999998,24.55745
4.72846133333332,22.00258
4.74179466666665,19.51116
4.75512799999998,17.03992
