time,FinapresBP
2.00096133333332,117.2599
2.00596133333332,116.50575
2.01096133333332,115.71514
2.01596133333332,114.89302
2.02096133333332,114.04378
2.02596133333332,113.17127
2.03096133333332,112.27907
2.03596133333332,111.37064
2.04096133333332,110.44959
2.04596133333332,109.5199
2.05096133333332,108.5861
2.05596133333332,107.65339
2.06096133333332,106.72772
2.06596133333332,105.81564
2.07096133333332,104.92404
2.07596133333332,104.05971
2.08096133333332,103.22893
2.08596133333332,102.43712
2.09096133333332,101.68869
2.09596133333332,100.9869
2.10096133333332,100.33386
2.10596133333332,99.73044
2.11096133333332,99.17631
2.11596133333332,98.66995
2.12096133333332,98.20885
2.12596133333332,97.78968
2.13096133333332,97.40858
2.13596133333332,97.06139
2.14096133333332,96.74381
2.14596133333332,96.45155
2.15096133333332,96.18043
2.15596133333332,95.92644
2.16096133333332,95.68583
2.16596133333332,95.45507
2.17096133333332,95.23079
2.17596133333332,95.00977
2.18096133333332,94.78888
2.18596133333332,94.56519
2.19096133333332,94.33603
2.19596133333332,94.09904
2.20096133333332,93.85221
2.20596133333332,93.59391
2.21096133333332,93.32283
2.21596133333332,93.03801
2.22096133333332,92.73883
2.22596133333332,92.42493
2.23096133333332,92.0962
2.23596133333332,91.75268
2.24096133333332,91.39464
2.24596133333332,91.02263
2.25096133333332,90.63763
2.25596133333332,90.24097
2.26096133333332,89.83425
2.26596133333332,89.41917
2.27096133333332,88.99736
2.27596133333332,88.57043
2.28096133333332,88.13998
2.28596133333332,87.70776
2.29096133333332,87.27556
2.29596133333332,86.84507
2.30096133333332,86.4176
2.30596133333332,85.99394
2.31096133333332,85.57426
2.31596133333332,85.1584
2.32096133333332,84.74605
2.32596133333332,84.33704
2.33096133333332,83.9314
2.33596133333332,83.52931
2.34096133333332,83.13097
2.34596133333332,82.73655
2.35096133333332,82.34611
2.35596133333332,81.95961
2.36096133333332,81.57688
2.36596133333332,81.19772
2.37096133333332,80.82196
2.37596133333332,80.44945
2.38096133333332,80.08022
2.38596133333332,79.71456
2.39096133333332,79.35323
2.39596133333332,78.99767
2.40096133333332,78.65015
2.40596133333332,78.31389
2.41096133333332,77.99317
2.41596133333332,77.69347
2.42096133333332,77.42158
2.42596133333332,77.18574
2.43096133333332,76.99574
2.43596133333332,76.86297
2.44096133333332,76.80046
2.44596133333332,76.8227
2.45096133333332,76.94547
2.45596133333332,77.18544
2.46096133333332,77.55972
2.46596133333332,78.08525
2.47096133333332,78.77809
2.47596133333332,79.65253
2.48096133333332,80.72008
2.48596133333332,81.98841
2.49096133333332,83.46029
2.49596133333332,85.13265
2.50096133333332,86.99596
2.50596133333332,89.03402
2.51096133333332,91.22417
2.51596133333332,93.53802
2.52096133333332,95.94244
2.52596133333332,98.40091
2.53096133333332,100.87513
2.53596133333332,103.32656
2.54096133333332,105.76307
2.54596133333332,108.01503
2.55096133333332,110.22657
2.55596133333332,112.20797
2.56096133333332,114.09118
2.56596133333332,115.75133
2.57096133333332,117.1937
2.57596133333332,118.49058
2.58096133333332,119.55239
2.58596133333332,120.46431
2.59096133333332,121.18285
2.59596133333332,121.7374
2.60096133333332,122.13999
2.60596133333332,122.40248
2.61096133333332,122.5362
2.61596133333332,122.55184
2.62096133333332,122.45937
2.62596133333332,122.26811
2.63096133333332,121.9868
2.63596133333332,121.6237
2.64096133333332,121.18659
2.64596133333332,120.68286
2.65096133333332,120.1195
2.65596133333332,119.50311
2.66096133333332,118.8398
2.66596133333332,118.13514
2.67096133333332,117.39409
2.67596133333332,116.62097
2.68096133333332,115.81953
2.68596133333332,114.99309
2.69096133333332,114.14471
2.69596133333332,113.2775
2.70096133333332,112.39487
2.70596133333332,111.50071
2.71096133333332,110.59954
2.71596133333332,109.69642
2.72096133333332,108.7969
2.72596133333332,107.90677
2.73096133333332,107.03193
2.73596133333332,106.17822
2.74096133333332,105.35123
2.74596133333332,104.55605
2.75096133333332,103.79702
2.75596133333332,103.0775
2.76096133333332,102.39971
2.76596133333332,101.76473
2.77096133333332,101.17256
2.77596133333332,100.62229
2.78096133333332,100.11231
2.78596133333332,99.64049
2.79096133333332,99.20436
2.79596133333332,98.80125
2.80096133333332,98.4283
2.80596133333332,98.08244
2.81096133333332,97.76035
2.81596133333332,97.4585
2.82096133333332,97.17317
2.82596133333332,96.90064
2.83096133333332,96.63723
2.83596133333332,96.3795
2.84096133333332,96.1243
2.84596133333332,95.8688
2.85096133333332,95.61045
2.85596133333332,95.34698
2.86096133333332,95.07639
2.86596133333332,94.79695
2.87096133333332,94.50719
2.87596133333332,94.20591
2.88096133333332,93.89223
2.88596133333332,93.56563
2.89096133333332,93.22594
2.89596133333332,92.87326
2.90096133333332,92.50786
2.90596133333332,92.1301
2.91096133333332,91.74044
2.91596133333332,91.33952
2.92096133333332,90.92822
2.92596133333332,90.50776
2.93096133333332,90.07963
2.93596133333332,89.64554
2.94096133333332,89.20716
2.94596133333332,88.76604
2.95096133333332,88.32338
2.95596133333332,87.88004
2.96096133333332,87.43664
2.96596133333332,86.99366
2.97096133333332,86.55159
2.97596133333332,86.11096
2.98096133333332,85.67229
2.98596133333332,85.23602
2.99096133333332,84.80239
2.99596133333332,84.37137
3.00096133333332,83.94275
3.00596133333332,83.51618
3.01096133333332,83.09127
3.01596133333332,82.66766
3.02096133333332,82.24506
3.02596133333332,81.82337
3.03096133333332,81.40291
3.03596133333332,80.98456
3.04096133333332,80.56998
3.04596133333332,80.16167
3.05096133333332,79.76303
3.05596133333332,79.37842
3.06096133333332,79.01327
3.06596133333332,78.67421
